Název mapy,Odkaz na StareMapy.cz
"Cursus Rheni a Basilea usque ad Bonnam, III. sect. exhibitus",http://staremapy.georeferencer.cz/map/5WDTpeGu5EYtNOpXkUKeFn/201408182105-fRwl1y/georeference,Univerzita Karlova v Praze
Rusčuk,http://staremapy.georeferencer.cz/map/7i7NgtsTHdzEet1TPfkbCK/201511051605-jKCGro/georeference,Univerzita Karlova v Praze
Plan of country between River Murray and Pinnaroo railway,http://staremapy.georeferencer.cz/map/Q6UqhIyhV1msVBFGBht3Ob/201408191550-mt6KAb/georeference,Univerzita Karlova v Praze
Heydekrug,http://staremapy.georeferencer.cz/map/bxx3eIpdTXQYsn5v2BScbw/201601081333-IjkKSX/georeference,Univerzita Karlova v Praze
[Königgrätz (Schweidnitz),http://staremapy.georeferencer.cz/map/HWL0ISm6j4VNoea9Dsv9Lr/201511051604-RnGZtl/georeference,Univerzita Karlova v Praze
Deutschland,http://staremapy.georeferencer.cz/map/Qzow0SOvbMh6ksLml2UjDu/201408182059-hEE8gk/georeference,Univerzita Karlova v Praze
Programma di massima della triangolazione geodetica di I° ordine dell' altopiano etiopico,http://staremapy.georeferencer.cz/map/6x0ap5KVS7dQwYr6ZME53x/201408191533-msYD3H/georeference,Univerzita Karlova v Praze
Geschichts-Karte von Österreich-Ungarn,http://staremapy.georeferencer.cz/map/GynVGvmdGplwbMb59oELsH/201511051559-mqDy0Y/georeference,Univerzita Karlova v Praze
Provinz Westpreussen,http://staremapy.georeferencer.cz/map/1psc3pqkS2KYcW9y2JWBUs/201408182100-qjh1KZ/georeference,Univerzita Karlova v Praze
Graz u. Steinamanger,http://staremapy.georeferencer.cz/map/JbsElBD2LvO4sc1HYmetEB/201511051647-N1IqTV/georeference,Univerzita Karlova v Praze
Plan der kaiserlich königliechen Provinzial-Hauptstadt Gratz samt ihren Umgebungen in Herzogthume Steyermark,http://staremapy.georeferencer.cz/map/Mxcnip0ZxFaQwIBaoM7p7O/201408182022-KkmKKo/georeference,Univerzita Karlova v Praze
"Egypt 1:100,000",http://staremapy.georeferencer.cz/map/OwrvjwfAhfmsRQzyb28HPY/201511051743-n75aOp/georeference,Univerzita Karlova v Praze
Carte de la Lituanie,http://staremapy.georeferencer.cz/map/Xzt7v0YoIeU5oSlbvCceh5/201511051611-Nn2OQH/georeference,Univerzita Karlova v Praze
[Kartenblatt],http://staremapy.georeferencer.cz/map/Fxlf0HgDqptaqqgDF33tcZ/201408191403-99VAkK/georeference,Univerzita Karlova v Praze
Neueste special Karte des Judenburger Kreises im Herzogthume Steyermark,http://staremapy.georeferencer.cz/map/Yig97cESSpq0G6eiLWnvjn/201408182022-Xrx0aw/georeference,Univerzita Karlova v Praze
39°49° Kaschau,http://staremapy.georeferencer.cz/map/6XM6usJISxS5sTvqEUfRl1/201511051703-822afG/georeference,Univerzita Karlova v Praze
[Mapový list],http://staremapy.georeferencer.cz/map/PFX5746paudGp9pfDGLbOJ/201511051618-9Giadd/georeference,Univerzita Karlova v Praze
Geographische Verzeichnung des GOERLIZER CREISES mit dem QVEISS-CREISE welches zusammen ist der Ostliche Theil von dem Marggrafthum OBER LAVSITZ,http://staremapy.georeferencer.cz/map/ahYMHxpXimWbZlbyjHbww6/201408191332-VQnwxE/georeference,Univerzita Karlova v Praze
Plan der Stadt Praag met zyn onderhorige Plaatze,http://staremapy.georeferencer.cz/map/chOFxseSPVcj2WzeIzudgF/201408181824-6260Xw/georeference,Univerzita Karlova v Praze
Der Rhein v. Manheim bis Cöln,http://staremapy.georeferencer.cz/map/feQps19Ee1PnMfoiHR8U8M/201601081340-JEOwy0/georeference,Univerzita Karlova v Praze
Bischofteinitz und Nürschan,http://staremapy.georeferencer.cz/map/P6kWfgEeu1ahx1tM3BWJCZ/201511051723-hfnnti/georeference,Univerzita Karlova v Praze
Přehled počasí,http://staremapy.georeferencer.cz/map/0EHhqUOj1I6xyyC7FyPetA/201511051734-RZCqT9/georeference,Univerzita Karlova v Praze
Leutmeritzer Kreis,http://staremapy.georeferencer.cz/map/7AvhS5DXhbRrrAhrjPAi8O/201408182107-Knjl6c/georeference,Univerzita Karlova v Praze
M. Spinuccia,http://staremapy.georeferencer.cz/map/PUnVmhe1WZ6GmDRyMpAQ5p/201408191429-WLsnKz/georeference,Univerzita Karlova v Praze
Böhmen,http://staremapy.georeferencer.cz/map/vJVOrOXJBtfSV7sEzCMsKx/201408182043-jRtvoX/georeference,Univerzita Karlova v Praze
Umgebungskarte von Salzburg 1:25 000,http://staremapy.georeferencer.cz/map/sQbGKXmzhXac0tFY3cN4Tl/201408191435-Gz97S8/georeference,Univerzita Karlova v Praze
Marchionatus Moraviae circuli Znoymensis et Iglaviensis,http://staremapy.georeferencer.cz/map/a5Pmo2P4DJWsP3c8JRA9Uf/201408182042-4XMBux/georeference,Univerzita Karlova v Praze
Italien,http://staremapy.georeferencer.cz/map/Sku2JEZdBw6bpZD4fp5Jlp/201511051610-dWNRC8/georeference,Univerzita Karlova v Praze
"Nova comitatus Pappenheimensis tabula, cum finitimis diversorum imperii statuum locis et tractibus, nec non dynastia Bellenberg in Suevia sita",http://staremapy.georeferencer.cz/map/tensyKybSt9iqWfXHHVDSG/201408182105-H5Wa3P/georeference,Univerzita Karlova v Praze
Plan ataki ukrěplenija v Temešskom uščel'i 8 ijunja 1849 goda,http://staremapy.georeferencer.cz/map/z5D84RhUVtJmLQeglYbozw/201408191257-O3BInI/georeference,Univerzita Karlova v Praze
Hüttenberg und Eberstein,http://staremapy.georeferencer.cz/map/jyBp3MbK59Ezj59Ou7v33A/201511051709-3dWwuf/georeference,Univerzita Karlova v Praze
[Augsburg,http://staremapy.georeferencer.cz/map/xyhJZMKatFwJdUHsGzthsx/201511051604-WxJrJq/georeference,Univerzita Karlova v Praze
"Principatvs Silesiae Glogoviensis novissima tabula geographica sistens 6 ejusdem circulos Glogav, Freystadt, Gvhrav, Sprottav, Grünberg et Schwiebvs, cum districtu Polckwitz nec non liberam dynastiam Bevthen et Carolath",http://staremapy.georeferencer.cz/map/WFpSg0hOMXPLFJ2bBizGIr/201408181823-23UM4f/georeference,Univerzita Karlova v Praze
Tapolca,http://staremapy.georeferencer.cz/map/6gp3YJMudzuPaWclDEZzdd/201511051709-aRh64G/georeference,Univerzita Karlova v Praze
Corso del Po per la Lombardia dalle sve fonti sino al mare,http://staremapy.georeferencer.cz/map/NT369mGVTeMg4WFSO0MQQX/201408191258-zWuY2z/georeference,Univerzita Karlova v Praze
München,http://staremapy.georeferencer.cz/map/WW93OaEHxBjhXwRqSRAyWh/201511051622-y8jOXH/georeference,Univerzita Karlova v Praze
Mocnářství rakouské,http://staremapy.georeferencer.cz/map/jaAoF9LwQwa1ChgW7J9rYx/201408191208-fOQ2f0/georeference,Univerzita Karlova v Praze
Přehled počasí,http://staremapy.georeferencer.cz/map/4zh0CGXf2p3Cx9RAGX4zcZ/201511051730-MZzzow/georeference,Univerzita Karlova v Praze
Die Prielgruppe und das Todte Gebirge,http://staremapy.georeferencer.cz/map/klc6lsKKdY1hvYd5J51U6l/201408191415-ifeTNU/georeference,Univerzita Karlova v Praze
Karte von Africa,http://staremapy.georeferencer.cz/map/KuSX1juslHk6MULczAPTB8/201408181820-rwQ0uf/georeference,Univerzita Karlova v Praze
Principatus Isenacensis cum adjacentibus vicinorum statuum ditionibus exhibitus,http://staremapy.georeferencer.cz/map/SfCIzYdC5rXDwobNy3Y4I7/201408181828-qLA5kq/georeference,Univerzita Karlova v Praze
Přehled počasí,http://staremapy.georeferencer.cz/map/DEwy5c6Fsoa8JEAeSo7Q4y/201511051734-WDuh4N/georeference,Univerzita Karlova v Praze
"Topographische Karte des Frankfurter Gebietes mit der Umgegend bis Mainz, Idstein, Friedberg, Aschaffenburg u. Darmstadt",http://staremapy.georeferencer.cz/map/6x69p6nhIm5DpxA2f7S2N7/201408181840-uMCcNn/georeference,Univerzita Karlova v Praze
Zoller's Post und Reise-Karte von Tirol und Vorarlberg nach den neuesten Quellen berichtiget,http://staremapy.georeferencer.cz/map/WrvPMca9EUufMGEWRx4wJW/201408181844-cRRuTX/georeference,Univerzita Karlova v Praze
Hawaii,http://staremapy.georeferencer.cz/map/zDzpYMEhDDOqFTkffI9U3M/201601081332-dVucMU/georeference,Univerzita Karlova v Praze
Die Elbe als Staatsgrenze,http://staremapy.georeferencer.cz/map/QNdXgpvyLK65v7Dec68RBI/201511051553-sOuxtG/georeference,Univerzita Karlova v Praze
31°48° Salzburg,http://staremapy.georeferencer.cz/map/0nCOsmLewJgEBVcCQsG6nU/201511051621-TY29S3/georeference,Univerzita Karlova v Praze
Der Orient,http://staremapy.georeferencer.cz/map/XuCbUQGWkQFVxstWYcqltD/201511051555-qXrT6B/georeference,Univerzita Karlova v Praze
[Gradkartenblatt],http://staremapy.georeferencer.cz/map/XGrzm6hoXpeikDPbbhmZAd/201408191338-9CZ7B7/georeference,Univerzita Karlova v Praze
[Gradkartenblatt],http://staremapy.georeferencer.cz/map/96cBaKw42ETpCCfOFr7clI/201511051617-Y6hOn5/georeference,Univerzita Karlova v Praze
Kadaň a Jáchymov,http://staremapy.georeferencer.cz/map/z76xRpk8dfkGAvnd2ZtnKw/201511051704-YaTq0h/georeference,Univerzita Karlova v Praze
Carta delle strade ferrate dell'Europa centrale,http://staremapy.georeferencer.cz/map/mFGIMS6otWCsuX8iNHVl1C/201408191306-Z6vKv8/georeference,Univerzita Karlova v Praze
Ducatus Britanniae tabula cum omnibus suis provinciis nova descriptio,http://staremapy.georeferencer.cz/map/J2j24eYAOvfgrOj2Ns1NBY/201601081339-3AUiZh/georeference,Univerzita Karlova v Praze
Bielitz,http://staremapy.georeferencer.cz/map/UiW97swIKExpEd5dsF2T9c/201511051639-MUQLyu/georeference,Univerzita Karlova v Praze
[Jižní Amerika],http://staremapy.georeferencer.cz/map/o901kRlr3VBHLx63M3dD3D/201511051608-nwqFR0/georeference,Univerzita Karlova v Praze
[Arsal],http://staremapy.georeferencer.cz/map/bmdyAosOhqM1se4Xgci2QY/201601081337-2rxVec/georeference,Univerzita Karlova v Praze
Přehled počasí,http://staremapy.georeferencer.cz/map/Tlikkkn1dKwuPrJ82eQxvn/201511051739-di3f4x/georeference,Univerzita Karlova v Praze
[Brandenburg,http://staremapy.georeferencer.cz/map/E2o7yS6kyZBzm6WQ7BqjKn/201511051604-fm3c6J/georeference,Univerzita Karlova v Praze
Víd[eňské] Nové Město,http://staremapy.georeferencer.cz/map/wvL8kHIF8jOWI7FpdJXcbG/201511051707-fbU7AD/georeference,Univerzita Karlova v Praze
Dvcatvs Silesiae tabvla altera Svperiorem Silesiam,http://staremapy.georeferencer.cz/map/UJslTR8pQxQbeeni0wVpTK/201408182132-x94Ema/georeference,Univerzita Karlova v Praze
Přehled počasí,http://staremapy.georeferencer.cz/map/hMl63BKARlGDu6vh6lpI76/201511051739-Dwyih9/georeference,Univerzita Karlova v Praze
Gradkartenblatt,http://staremapy.georeferencer.cz/map/RPNu8ZEzGy8ODKAnV20rKU/201408191300-wj1ac5/georeference,Univerzita Karlova v Praze
"Das Himálaja Gebirg in Bissahir, Gherwal & Kemaun, von Südrande des Plateaus von Mittel-Tibet bis zum Tieflande von Hindostan",http://staremapy.georeferencer.cz/map/eqfpkNoVZ8GKe80V3UzBJZ/201408191214-WlVruB/georeference,Univerzita Karlova v Praze
LA FRANCE en 1812,http://staremapy.georeferencer.cz/map/fUVctb5CAgwgdZGNYV8Z7n/201408191308-yQHRJr/georeference,Univerzita Karlova v Praze
[Gradkartenblatt],http://staremapy.georeferencer.cz/map/uHfoAFMfi61M6ct3Yi9zT2/201511051617-CLRDnE/georeference,Univerzita Karlova v Praze
Gradkartenblatt,http://staremapy.georeferencer.cz/map/qxGFIPltBrVbyF1l11a4Kg/201408191308-2DmQ1E/georeference,Univerzita Karlova v Praze
[Kartenblatt],http://staremapy.georeferencer.cz/map/nPk3TsfJI0L3Ncg156e0M3/201408191403-MCbGcq/georeference,Univerzita Karlova v Praze
Geologische Spezialkarte der im Reichsrate vertretenen Königreiche und Länder der Österreichisch-Ungarischen Monarchie,http://staremapy.georeferencer.cz/map/TRqfHBhr4H0bahZubgHZ3R/201511051617-hDiuvo/georeference,Univerzita Karlova v Praze
Přehled počasí,http://staremapy.georeferencer.cz/map/Of0pxoy2kevInk6nkiXQMA/201511051725-niZKdB/georeference,Univerzita Karlova v Praze
Deutsches Reich und Tschecho-Slowakei,http://staremapy.georeferencer.cz/map/irZY0snIppkn1zjyS2t4ke/201408191539-iBID5G/georeference,Univerzita Karlova v Praze
Kraiova,http://staremapy.georeferencer.cz/map/beCvPna7zmN5zWUN07PHGf/201511051604-FRgPY8/georeference,Univerzita Karlova v Praze
Ostasiatischer-Raum,http://staremapy.georeferencer.cz/map/9eVTvo4jwWL2T4jALJc60K/201408191505-HXtMqi/georeference,Univerzita Karlova v Praze
30°49° Kleneč pod Čerchovem,http://staremapy.georeferencer.cz/map/ohIIIM19OqZufZRbMWwXEt/201511051651-MXxXNl/georeference,Univerzita Karlova v Praze
Přehled počasí,http://staremapy.georeferencer.cz/map/QEoP44x37jaZIzmKyVbl3s/201511051731-lq3QFG/georeference,Univerzita Karlova v Praze
Zemplénoroszi und Dydiowa,http://staremapy.georeferencer.cz/map/TzELutjDGcIXHdVBP0RY9e/201408191547-OlAXw8/georeference,Univerzita Karlova v Praze
Adelsberg,http://staremapy.georeferencer.cz/map/6usvnahdfHLjYMHf9OM1J6/201511051748-tySlGz/georeference,Univerzita Karlova v Praze
[Gradkartenblatt],http://staremapy.georeferencer.cz/map/ipAaqDAVYqX7ZYYCJTs7HD/201408191335-pRDV4z/georeference,Univerzita Karlova v Praze
Europa delineata juxta observationes excellorum virorum academiae regalis scientiarum et nonnullor. aliorum et juxta recentissimas annotationes,http://staremapy.georeferencer.cz/map/N1Io8hM6B8T5aiKYTkTWOh/201408182021-F4GbN3/georeference,Univerzita Karlova v Praze
Recens elaborata mappa geographica regni Brasiliae in America Meridionali,http://staremapy.georeferencer.cz/map/6RhZUDZ1O9XG0bB6ktWAXi/201511110110-dGii4p/georeference,Univerzita Karlova v Praze
Europa,http://staremapy.georeferencer.cz/map/akpxqRFU46Xd521jTPKNlW/201408191217-xCm7cE/georeference,Univerzita Karlova v Praze
Die Gletscherwelt der Inner-Oetztaler Alpen,http://staremapy.georeferencer.cz/map/0lquO4jb5RgdSd53bmnnNA/201511051640-ff5C8I/georeference,Univerzita Karlova v Praze
Harta României,http://staremapy.georeferencer.cz/map/gEdbvweVBBgUzLy3Hwn4KY/201511051542-a2PqJB/georeference,Univerzita Karlova v Praze
Ustrzyki Dolne,http://staremapy.georeferencer.cz/map/LjsXfOwz56UK0IGN2zoOwI/201511051653-iWARck/georeference,Univerzita Karlova v Praze
"Uibersichts-Carte der Staaten Toscana, Modena u. Parma mit ihrer neuen Gränzbestim[m]ung",http://staremapy.georeferencer.cz/map/UaG3Qv21yKHDMGAKhloVMB/201408181846-VtbBmy/georeference,Univerzita Karlova v Praze
Gr[oß] Leschienen,http://staremapy.georeferencer.cz/map/vryWsBxsKUdL7e5S7fTnnn/201511051712-adXtTt/georeference,Univerzita Karlova v Praze
Komunikační mapa země Moravskoslezské,http://staremapy.georeferencer.cz/map/gzrUFYGA1TJekSTHKfesjQ/201511051544-IwHxIh/georeference,Univerzita Karlova v Praze
Dimotika,http://staremapy.georeferencer.cz/map/HP9zKJIgITTNnb6MYfxyKE/201601081333-iNF8VQ/georeference,Univerzita Karlova v Praze
Karte der Bewölkerungsdichte (relative Bevölkerung) des Königreiches Böhmen,http://staremapy.georeferencer.cz/map/ff8wNLVzo3OiKElaWUeZpz/201408191304-0HKdSR/georeference,Univerzita Karlova v Praze
Sillan,http://staremapy.georeferencer.cz/map/kUEHzTJPcq6f5saalqRsQD/201408191435-0tsB9n/georeference,Univerzita Karlova v Praze
EUROPA CHRISTIANI ORBIS DOMINA IN SUA IMPERIA REGNA ET STATUS exacte divisa,http://staremapy.georeferencer.cz/map/YelPYGAqEORiSTK7IJBvHt/201601081338-qEBAuN/georeference,Univerzita Karlova v Praze
"Egypt 1:100,000",http://staremapy.georeferencer.cz/map/lXAfMrQYHyBCJaqM1iySER/201511051743-IGAuUZ/georeference,Univerzita Karlova v Praze
"Novissima et Acuratissima TOTIUS ANGLIAE, SCOTIAE et HIBERNIAE TABULA",http://staremapy.georeferencer.cz/map/xp7M3Dkanksa3QGnThg9x8/201601081339-F7y80Y/georeference,Univerzita Karlova v Praze
Sofia,http://staremapy.georeferencer.cz/map/2bBbDAEpVNYnL5xyHBEVxs/201511051745-u1buV2/georeference,Univerzita Karlova v Praze
Nové Mesto n[ad] Váhom a Uherský Ostroh,http://staremapy.georeferencer.cz/map/duFSzll2WTlSpaHkfjhdEs/201511051647-4w8k1D/georeference,Univerzita Karlova v Praze
Salqîne,http://staremapy.georeferencer.cz/map/Vjj0c6UoLpjLFoueKeODC8/201601081336-nm9TS0/georeference,Univerzita Karlova v Praze
Charte der ÖSTERREICHISCHEN MONARCHIE,http://staremapy.georeferencer.cz/map/xkqfDHypod3kIFTy92r2Sz/201511051559-V25ONS/georeference,Univerzita Karlova v Praze
Statistické mapy Království českého,http://staremapy.georeferencer.cz/map/jQuyZS4kImMvbH1NVtEDAv/201408191237-xUjGOz/georeference,Univerzita Karlova v Praze
Podrobná mapa Království českého,http://staremapy.georeferencer.cz/map/sUbzfj0eGHRSHaz0EbXdzJ/201511051544-OhmuWf/georeference,Univerzita Karlova v Praze
Eine Böhmenwald-Grenzkarte vom Jahre 1514,http://staremapy.georeferencer.cz/map/J5lg3lBrBJbPnik33CF7B1/201408191308-CmI9yd/georeference,Univerzita Karlova v Praze
Département du Bas Rhin,http://staremapy.georeferencer.cz/map/zC709jzxnVaoFxKrMZNPqy/201511051546-YjAAgs/georeference,Univerzita Karlova v Praze
Heidelberga,http://staremapy.georeferencer.cz/map/y8qjvkkMX19WR6Cuk7WPVt/201504191132-unJYfA/georeference,Univerzita Karlova v Praze
[Merano a okolí],http://staremapy.georeferencer.cz/map/R1r0c3ujgTa7xiip5kh6hV/201511051621-DdtNJC/georeference,Univerzita Karlova v Praze
Übersicht der Bodengestaltung von Asien,http://staremapy.georeferencer.cz/map/zSPnimv4iL5noqgU59QUbl/201408191212-4qSkfl/georeference,Univerzita Karlova v Praze
Charte vom Elbogner Kreise mit dem Egerischen Bezirk und dem Kronlehn Gut Asch,http://staremapy.georeferencer.cz/map/JzCHq9qRq9KLW9KCELUmBN/201408191222-SC1L9H/georeference,Univerzita Karlova v Praze
Index to topographic maps and geologic folios,http://staremapy.georeferencer.cz/map/U57Zy0YtBkpVOtwnM47Lx8/201601081330-TD1VZh/georeference,Univerzita Karlova v Praze
Carte topographique d'Allemagne,http://staremapy.georeferencer.cz/map/ST9UEcbL982hhqFZi1VUMl/201408182113-Rju6PT/georeference,Univerzita Karlova v Praze
Adelsberg,http://staremapy.georeferencer.cz/map/gRkJ2DZvEtQ3aLQiA3GlLy/201511051748-SUOLqd/georeference,Univerzita Karlova v Praze
Gradkartenblatt,http://staremapy.georeferencer.cz/map/rFGulMUKwnlqTKK27zIUCq/201408191307-lIpezq/georeference,Univerzita Karlova v Praze
Charte vom Königreiche Böheim,http://staremapy.georeferencer.cz/map/5xoX8LRMoC2YYSFEJ9GQE1/201511051648-IgkaxP/georeference,Univerzita Karlova v Praze
[Geologische Spezialkarte der im Reichsrate vertretenen Königreiche und Länder der Österreichisch-Ungarischen Monarchie],http://staremapy.georeferencer.cz/map/YebH9h2j8WzQSsLzkiMmlM/201511051602-yALq4F/georeference,Univerzita Karlova v Praze
Charte vom Kauržimer Kreise des Königreichs Böheim,http://staremapy.georeferencer.cz/map/DokoUJndZQ6ml7OvxFoWfX/201408191221-itaAtg/georeference,Univerzita Karlova v Praze
"Mer Méditerranée, Côte de France",http://staremapy.georeferencer.cz/map/sbXg0v1YXRfhDLJsJfbWi2/201511051601-2cG1Rh/georeference,Univerzita Karlova v Praze
Episcopatus Hildesiensis nec non vicinorum statuum delineatio geographica,http://staremapy.georeferencer.cz/map/hONA3wBMA0nN5Fut9SCbkZ/201601081338-mfJC4p/georeference,Univerzita Karlova v Praze
Késmárk und Leutschau,http://staremapy.georeferencer.cz/map/86sisZ9QdC6cuvrXzfbT00/201511051644-G3Tbmm/georeference,Univerzita Karlova v Praze
Westlicher Planiglob,http://staremapy.georeferencer.cz/map/Ml1AZfMahWqsROi1gDsSly/201511051720-Ftd8DP/georeference,Univerzita Karlova v Praze
L'EVROPE POLITIQUE &c. en 1826 pour etre comparée a L'EVROPE POLITIQUE de 1812,http://staremapy.georeferencer.cz/map/2uQuYX6I8nHj4jPWhBOJ4N/201408191308-3eZ8jQ/georeference,Univerzita Karlova v Praze
Banská Bystrica,http://staremapy.georeferencer.cz/map/ZlWuOi298ymEBhvMS32RoS/201408191333-72HZMJ/georeference,Univerzita Karlova v Praze
Griechenland,http://staremapy.georeferencer.cz/map/FUruqil1Ly5VPS0dhHh764/201511051608-tUUUkq/georeference,Univerzita Karlova v Praze
"Strategische Situation am: 26. Juni, 4. Juli (Abends), 10. Juli (9 Uhr Morgens), 14. Juli Machmittags nach dem Gefecht von Aschaffenburg, 21. Juli, 26. Juli (Morges)",http://staremapy.georeferencer.cz/map/YOa8gbq1L1e3jjAoJYIJAb/201408191215-TvLr7a/georeference,Univerzita Karlova v Praze
Přehledná hydrografická mapa povodí Odry na Moravě a ve Slezsku,http://staremapy.georeferencer.cz/map/O55LyqIAw8B4q5gN9TpRU9/201511051703-NKklNi/georeference,Univerzita Karlova v Praze
Côte nord de France,http://staremapy.georeferencer.cz/map/mmyJscGX9RI9itewub5trf/201511051601-IoVeIB/georeference,Univerzita Karlova v Praze
L'isle de Malthe,http://staremapy.georeferencer.cz/map/rbWxAHqnIIwAfAN4zdsKJO/201408182046-yLqwkJ/georeference,Univerzita Karlova v Praze
"Elbasan, Argyrokastron, Joannina, Corfu, Philiataes",http://staremapy.georeferencer.cz/map/ekEAUxfx5HIeBsXoIdmu0q/201511051620-X76b80/georeference,Univerzita Karlova v Praze
Dvcatvs Lvnebvrgensis adiacentiumq[ue] regionum delineatio,http://staremapy.georeferencer.cz/map/bfPbBxMQAvd20NsYi59Ja5/201601081337-2npztS/georeference,Univerzita Karlova v Praze
Geologische Spezialkarte der im Reichsrate vertretenen Königreiche und Länder der Österreichisch-Ungarischen Monarchie,http://staremapy.georeferencer.cz/map/83RxSFyqXnwJU9L7zyFJ0d/201511051617-0IWVmH/georeference,Univerzita Karlova v Praze
Litschau und Gmünd,http://staremapy.georeferencer.cz/map/JR0LnNhJF00uJOyRdHkROG/201511051645-SJ0vhW/georeference,Univerzita Karlova v Praze
Chur-Bayern im Jahr 1802,http://staremapy.georeferencer.cz/map/KTzBYc0m33q1zfv4NepYmF/201408182105-nwKVSj/georeference,Univerzita Karlova v Praze
Geologische Uebersichtskarte der libyschen und arabischen Wüste,http://staremapy.georeferencer.cz/map/YKONlLTWLPNZvRHioPo93Z/201408191533-hbJvrt/georeference,Univerzita Karlova v Praze
California,http://staremapy.georeferencer.cz/map/cHxhhjDO3kYqSApxMKy65A/201601081332-TyOoh7/georeference,Univerzita Karlova v Praze
Die Kaiser Ferdinand's Nordbahn,http://staremapy.georeferencer.cz/map/wOAj5uD80C4EmZr0rOKu3E/201408191303-gaavSS/georeference,Univerzita Karlova v Praze
Skutečsko,http://staremapy.georeferencer.cz/map/tmmIP9GW629Rk2eVFeurH8/201511051607-zC2GVI/georeference,Univerzita Karlova v Praze
Hohenelbe,http://staremapy.georeferencer.cz/map/I48oaOYsMkBbsiilGiwksr/201511051642-HSldup/georeference,Univerzita Karlova v Praze
Orosháza,http://staremapy.georeferencer.cz/map/jTTt0J1nuU7isv9Xg3953W/201511051724-oakD3h/georeference,Univerzita Karlova v Praze
Das persisch-macedonische Reich,http://staremapy.georeferencer.cz/map/3XryFMAdjKuy1doQhHwmxq/201408191304-3jeFFl/georeference,Univerzita Karlova v Praze
Přehled počasí,http://staremapy.georeferencer.cz/map/q3g7ASBKsPIrfCOAJiVWX6/201511051730-NuyOPU/georeference,Univerzita Karlova v Praze
Arizona,http://staremapy.georeferencer.cz/map/3wyuxB7mjJjMpp0YNpLxcc/201511051742-EhgPls/georeference,Univerzita Karlova v Praze
Dvcatvs Silesiae,http://staremapy.georeferencer.cz/map/dAtVnVpTi0e4lIGwIKPBmP/201408182132-B3klYq/georeference,Univerzita Karlova v Praze
Oversiktskart 1:2 800 000,http://staremapy.georeferencer.cz/map/PuJyqtZ3twMNxdDBAwWtqX/201511051702-tXgBNn/georeference,Univerzita Karlova v Praze
Die Britischen Inseln oder die Vereinigten Königreiche,http://staremapy.georeferencer.cz/map/vCpjov37SP9yoGht5uA21i/201408181853-NdztfC/georeference,Univerzita Karlova v Praze
Wöchentliche Kriegsschauplatzkarte,http://staremapy.georeferencer.cz/map/fdZUE5j8y7Dxnf5Fnz4w2h/201511051609-Rp6lsT/georeference,Univerzita Karlova v Praze
"California, Nevada",http://staremapy.georeferencer.cz/map/t3lwtda6FAsORWOQaRAR6d/201511051742-4HV2Dw/georeference,Univerzita Karlova v Praze
BETHUNE,http://staremapy.georeferencer.cz/map/ltwb2C4vSKAxv3KwsOL9rY/201408191328-lN3tK2/georeference,Univerzita Karlova v Praze
Nordost-Frankreich Belgien und Luxemburg Deutsche Rheinländer,http://staremapy.georeferencer.cz/map/RvT8KIO6XXWLYx7c0W7GgO/201511051603-waiA67/georeference,Univerzita Karlova v Praze
Umgebung von Klosterneuburg,http://staremapy.georeferencer.cz/map/WleCWtRKdjWwnHp7KbCVOz/201408181844-n0cG5Y/georeference,Univerzita Karlova v Praze
33°48° Skt. Pölten,http://staremapy.georeferencer.cz/map/UK20RvHH4pxSQbQj1pVePk/201511051621-ErfabU/georeference,Univerzita Karlova v Praze
Rybnik,http://staremapy.georeferencer.cz/map/k1TFsR8JsMZaKvwumNhyVk/201601081340-9Wm6HV/georeference,Univerzita Karlova v Praze
Rakovník,http://staremapy.georeferencer.cz/map/onwunzZdWKoRYqrUJVSmQg/201511051642-YENyCf/georeference,Univerzita Karlova v Praze
S[ank]t Pölten,http://staremapy.georeferencer.cz/map/iZlczCdZmFNBycW4i4PH7z/201511051701-28YbdN/georeference,Univerzita Karlova v Praze
Salzburg,http://staremapy.georeferencer.cz/map/k2MBYRjz9wrVq8JFBlQHZg/201511051707-RRRoZ6/georeference,Univerzita Karlova v Praze
California,http://staremapy.georeferencer.cz/map/fRr42xbJThJo7swTGvf6OM/201511051742-MjQ1En/georeference,Univerzita Karlova v Praze
Carte routiére pour cyclistes & automobilistes du nord-est de la France,http://staremapy.georeferencer.cz/map/7RSSYbHseiMV8oXKNNZKar/201511051648-Eypxet/georeference,Univerzita Karlova v Praze
Gradkartenblatt,http://staremapy.georeferencer.cz/map/IbGM2XKcVFczjdwVKQWq9z/201408191308-Gbd1fX/georeference,Univerzita Karlova v Praze
Choceň a okolí,http://staremapy.georeferencer.cz/map/uz9BJbgvDkqMnlJEloLjgX/201408191548-f7XckG/georeference,Univerzita Karlova v Praze
Neuhäusel und Komorn,http://staremapy.georeferencer.cz/map/QSqfKSv2BMB64RYV3LaiLD/201511051705-5IwtjG/georeference,Univerzita Karlova v Praze
Piešťany,http://staremapy.georeferencer.cz/map/9rYK3GmsFFNIDURFe1CeoI/201511051702-HFUtBv/georeference,Univerzita Karlova v Praze
Frontiere dans la région de Spiš,http://staremapy.georeferencer.cz/map/4CIallp5asu4RMVyjtrtdm/201511051721-mFZH8b/georeference,Univerzita Karlova v Praze
